file,sha256,size_bytes,software_sha,software_branch,motor_number,mis_takeoff_alt,com_fail_act_t,group
04_00_44.ulg,4f2a7c254e8eb22c4236755c9e8980a7c677460e1bfa21baabf6f2278f86970d,7077427,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,1,2.5,0.0,primary-24-case-matrix
04_01_45.ulg,8cfb724a5e53cf3010ee43b07125eeaaa94033b439589f2d1b0cddd01d818874,6863890,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,2,2.5,0.0,primary-24-case-matrix
04_02_45.ulg,800dd0c559267670a292e290ac7cba229b44f861368005889c43d05bcf5a5ebb,7503779,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,3,2.5,0.0,primary-24-case-matrix
04_03_49.ulg,df4664c2abc67f2f68ca7850a0df418194ae22e6d55e3477cd9b939ca3e7385d,7395698,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,4,2.5,0.0,primary-24-case-matrix
04_04_54.ulg,d86766d6b8e4743be7e473a3b9802ed7488177a7934752b92a5e72b4062c965f,10853339,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,1,10.0,0.0,primary-24-case-matrix
04_06_20.ulg,00644d420c76be2d8da2fee47e88a444bb1257555f3b54b54e45d55faa843aa6,9035017,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,2,10.0,0.0,primary-24-case-matrix
04_07_35.ulg,e75bb6e7d4cc3fd864ce368854a5b99695508a1977c8c46c3d459e63a7ac215d,10572006,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,3,10.0,0.0,primary-24-case-matrix
04_09_01.ulg,3dd6873037756dfce16282eeb84c1572487b85be6ad3f9cd9cf7a725bece5a82,10260707,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,4,10.0,0.0,primary-24-case-matrix
04_10_23.ulg,f29c5a829c22579dad4fccbace126031dc261d7c8ed2848f2aa764b983c6b421,10819485,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,1,20.0,0.0,primary-24-case-matrix
04_11_48.ulg,026167dff1ce1dfdae086acb5f77f3e3ce8c5fb5f674077ccfbf6f914ef5722b,14150159,f5bba53c2a53c0f7d7820341c19e67e6c6f92819,dev/power-redundancy-protection,2,20.0,0.0,primary-24-case-matrix
